iter	Passed	Remaining
439	1550	1973
440	1553	1969
441	1556	1964
442	1559	1960
443	1562	1956
444	1565	1952
445	1568	1948
446	1571	1944
447	1574	1940
448	1577	1936
449	1580	1932
450	1583	1927
451	1586	1923
452	1589	1918
453	1592	1914
454	1595	1910
455	1598	1906
456	1600	1901
457	1603	1897
458	1606	1893
459	1609	1888
460	1612	1884
461	1614	1880
462	1617	1876
463	1620	1871
464	1623	1867
465	1626	1863
466	1629	1859
467	1631	1855
468	1634	1850
469	1637	1846
470	1640	1842
471	1643	1838
472	1647	1835
473	1650	1831
474	1653	1828
475	1656	1824
476	1660	1820
477	1663	1816
478	1665	1811
479	1668	1807
480	1671	1803
481	1673	1798
482	1676	1794
483	1679	1790
484	1681	1785
485	1684	1781
486	1687	1777
487	1690	1773
488	1693	1769
489	1696	1765
490	1700	1763
491	1705	1760
492	1710	1759
493	1713	1755
494	1718	1752
495	1722	1749
496	1725	1746
497	1729	1743
498	1732	1739
499	1736	1736
500	1740	1733
501	1744	1730
502	1748	1727
503	1751	1723
504	1755	1720
505	1759	1717
506	1761	1713
507	1765	1710
508	1769	1707
509	1773	1703
510	1776	1700
511	1780	1696
512	1785	1694
513	1789	1692
514	1797	1693
515	1803	1691
516	1809	1690
517	1813	1687
518	1816	1683
519	1820	1680
520	1823	1676
521	1826	1672
522	1830	1669
523	1834	1666
524	1838	1663
525	1844	1661
526	1850	1661
527	1857	1660
528	1863	1659
529	1866	1654
530	1868	1650
531	1871	1646
532	1874	1642
533	1876	1637
534	1879	1633
535	1882	1629
536	1885	1625
537	1887	1620
538	1891	1617
539	1893	1612
540	1896	1608
541	1898	1604
542	1901	1600
543	1904	1596
544	1907	1592
545	1909	1588
546	1912	1583
547	1915	1579
548	1918	1575
549	1920	1571
550	1923	1567
551	1926	1563
552	1928	1559
553	1932	1555
554	1935	1551
555	1938	1547
556	1940	1543
557	1943	1539
558	1946	1535
559	1949	1531
560	1952	1527
561	1954	1523
562	1957	1519
563	1960	1515
564	1962	1511
565	1965	1507
566	1967	1502
567	1970	1498
568	1973	1494
569	1976	1491
570	1979	1487
571	1982	1483
572	1984	1479
573	1987	1474
574	1990	1471
575	1992	1466
576	1995	1463
577	1998	1459
578	2001	1455
579	2004	1451
580	2006	1447
581	2009	1443
582	2012	1439
583	2014	1435
584	2017	1431
585	2020	1427
586	2023	1423
587	2025	1419
588	2028	1415
589	2030	1411
590	2033	1407
591	2036	1403
592	2039	1399
593	2041	1395
594	2044	1391
595	2048	1388
596	2050	1384
597	2053	1380
598	2056	1376
599	2059	1372
600	2062	1369
601	2065	1365
602	2067	1361
603	2070	1357
604	2073	1354
605	2077	1350
606	2079	1346
607	2082	1342
608	2085	1338
609	2088	1335
610	2091	1331
611	2094	1327
612	2097	1324
613	2100	1320
614	2103	1317
615	2106	1313
616	2109	1309
617	2112	1305
618	2116	1302
619	2119	1299
620	2123	1295
621	2125	1291
622	2128	1287
623	2131	1284
624	2133	1280
625	2136	1276
626	2139	1272
627	2142	1269
628	2145	1265
629	2148	1261
630	2151	1258
631	2154	1254
632	2157	1250
633	2159	1246
634	2161	1242
635	2163	1238
636	2166	1234
637	2168	1230
638	2171	1226
639	2173	1222
640	2176	1218
641	2178	1214
642	2181	1210
643	2183	1206
644	2185	1202
645	2187	1198
646	2190	1194
647	2192	1191
648	2194	1187
649	2197	1183
650	2199	1179
651	2202	1175
652	2205	1171
653	2208	1168
654	2210	1164
655	2214	1161
656	2217	1157
657	2220	1154
658	2223	1150
659	2225	1146
660	2228	1142
661	2231	1139
662	2233	1135
663	2236	1131
664	2239	1127
665	2241	1124
666	2243	1120
667	2246	1116
668	2249	1112
669	2252	1109
670	2254	1105
671	2256	1101
672	2259	1097
673	2262	1094
674	2264	1090
675	2266	1086
676	2269	1082
677	2271	1078
678	2273	1074
679	2276	1071
680	2278	1067
681	2281	1063
682	2283	1060
683	2286	1056
684	2288	1052
685	2290	1048
686	2293	1044
687	2295	1041
688	2297	1037
689	2300	1033
690	2302	1029
691	2305	1026
692	2307	1022
693	2310	1018
694	2312	1014
695	2315	1011
696	2317	1007
697	2319	1003
698	2322	1000
699	2324	996
700	2327	992
701	2329	988
702	2331	985
703	2334	981
704	2336	977
705	2338	973
706	2341	970
707	2343	966
708	2346	962
709	2348	959
710	2350	955
711	2353	951
712	2355	948
713	2357	944
714	2359	940
715	2362	936
716	2364	933
717	2367	929
718	2370	926
719	2372	922
720	2374	918
721	2376	915
722	2379	911
723	2381	907
724	2383	904
725	2385	900
726	2387	896
727	2389	892
728	2392	889
729	2394	885
730	2397	882
731	2399	878
732	2401	874
733	2404	871
734	2406	867
735	2410	864
736	2412	861
737	2415	857
738	2418	854
739	2420	850
740	2423	847
741	2426	843
742	2430	840
743	2434	837
744	2436	834
745	2439	830
746	2442	827
747	2445	823
748	2448	820
749	2450	816
750	2453	813
751	2457	810
752	2464	808
753	2469	805
754	2473	802
755	2476	799
756	2479	795
757	2482	792
758	2485	789
759	2487	785
760	2489	781
761	2491	778
762	2494	774
763	2496	771
764	2498	767
765	2501	764
766	2503	760
767	2505	756
768	2507	753
769	2509	749
770	2512	746
771	2514	742
772	2517	739
773	2519	735
774	2521	731
775	2523	728
776	2525	724
777	2527	721
778	2530	717
779	2532	714
780	2535	710
781	2537	707
782	2539	703
783	2541	700
784	2544	696
785	2546	693
786	2549	690
787	2551	686
788	2553	682
789	2556	679
790	2558	676
791	2561	672
792	2563	669
793	2566	665
794	2568	662
795	2570	658
796	2572	655
797	2575	651
798	2577	648
799	2579	644
800	2582	641
801	2584	638
802	2586	634
803	2589	631
804	2591	627
805	2594	624
806	2596	621
807	2599	617
808	2601	614
809	2603	610
810	2605	607
811	2607	603
812	2610	600
813	2612	596
814	2614	593
815	2616	590
816	2619	586
817	2621	583
818	2623	579
819	2625	576
820	2627	572
821	2630	569
822	2632	566
823	2634	562
824	2636	559
825	2638	555
826	2641	552
827	2643	549
828	2646	545
