iter	RMSE
831	67291.9498
832	67281.69069
833	67265.42576
834	67252.00727
835	67239.90477
836	67216.32904
837	67200.69037
838	67190.91806
839	67170.83943
840	67160.38187
841	67137.74902
842	67132.42847
843	67118.66549
844	67103.07219
845	67091.40442
846	67072.61638
847	67057.06128
848	67051.90432
849	67041.63211
850	67028.84463
851	67011.41616
852	66995.55099
853	66985.58247
854	66977.39997
855	66968.48953
856	66958.41942
857	66947.37279
858	66938.0592
859	66927.36497
860	66914.547
861	66898.39825
862	66880.34477
863	66874.68231
864	66858.41737
865	66847.07747
866	66832.74352
867	66821.59818
868	66809.07605
869	66796.71074
870	66788.90591
871	66777.09378
872	66768.28601
873	66757.63723
874	66728.83026
875	66717.50734
876	66700.73645
877	66693.37291
878	66680.2835
879	66666.25763
880	66656.99723
881	66634.72223
882	66622.19986
883	66613.05541
884	66602.09845
885	66583.92506
886	66568.44122
887	66557.37491
888	66536.49874
889	66525.56741
890	66507.06987
891	66498.58238
892	66486.29116
893	66475.90387
894	66469.20402
895	66459.82501
896	66449.69866
897	66440.25159
898	66430.96464
899	66420.52259
900	66405.3527
901	66396.29523
902	66377.25184
903	66370.48256
904	66356.3122
905	66339.4058
906	66332.14659
907	66313.43227
908	66303.09661
909	66295.43436
910	66286.08717
911	66274.8674
912	66258.27529
913	66244.79094
914	66235.05268
915	66218.02902
916	66204.21005
917	66195.8791
918	66190.02197
919	66167.26027
920	66148.11899
921	66135.62238
922	66120.9268
923	66097.50182
924	66086.14873
925	66075.83451
926	66065.45929
927	66057.19854
928	66047.52937
929	66038.28273
930	66028.37459
931	66020.05019
932	66012.55131
933	66001.09621
934	65983.34362
935	65977.09633
936	65961.2829
937	65940.95357
938	65930.58973
939	65923.99225
940	65916.47094
941	65894.49033
942	65878.92063
943	65866.48486
944	65850.91917
945	65836.60321
946	65829.50768
947	65820.2736
948	65812.44488
949	65800.86732
950	65780.57717
951	65766.38273
952	65750.27301
953	65738.09771
954	65725.60164
955	65714.50976
956	65704.10408
957	65691.78856
958	65682.75752
959	65676.24089
960	65666.1697
961	65651.38122
962	65643.79688
963	65635.64129
964	65624.79192
965	65614.89342
966	65605.96137
967	65592.7484
968	65587.50919
969	65582.13462
970	65575.67431
971	65561.24866
972	65547.15028
973	65534.29933
974	65521.79419
975	65514.42258
976	65498.0286
977	65488.1364
978	65476.94107
979	65461.62784
980	65451.76871
981	65448.06235
982	65438.43196
983	65429.98059
984	65411.17062
985	65400.52343
986	65387.97331
987	65373.4471
988	65364.04744
989	65359.25377
990	65341.83801
991	65335.58639
992	65325.65977
993	65313.62287
994	65306.83716
995	65296.10647
996	65287.04859
997	65276.20203
998	65259.09086
999	65250.2939
